client_ip,client_port,server_ip,server_port,protocol_type,start_time,flow_id,pcap_id,end_time,duration,packet_count,upload_packet_count,download_packet_count,upload_bytes,download_bytes,average_packet_size,maximum_packet_size,minimum_packet_size,inter_arrival_mean,inter_arrival_std,burst_count,whatsapp_confidence,whatsapp_signals,media_type
10.0.2.15,57240,212.55.186.14,443,TCP,1691664951.817125,1,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664965.249398,13.432272911071777,10,5,5,294,300,59.4,78,54,1.4924747678968642,3.242011554779255,3,none,,message
10.0.2.15,54846,172.217.22.66,443,TCP,1691664951.987302,2,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664952.012623,0.025321006774902344,4,2,2,147,153,75.0,93,54,0.008440335591634115,0.011189188879019664,1,none,,message
10.0.2.15,53972,212.55.186.16,443,TCP,1691664952.072071,3,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664965.246119,13.174047946929932,10,5,5,294,300,59.4,78,54,1.4637831052144368,3.228464153519461,3,none,,message
10.0.2.15,53984,212.55.186.16,443,TCP,1691664952.072182,4,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664965.250051,13.177869081497192,10,5,5,294,300,59.4,78,54,1.4642076757219102,3.230092867027435,3,none,,message
10.0.2.15,45770,172.217.22.67,80,TCP,1691664952.334337,5,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664965.250646,12.916309118270874,8,4,4,216,240,57.0,60,54,1.845187016895839,3.542446237194459,3,none,,message
10.0.2.15,45762,172.217.22.67,80,TCP,1691664954.118434,6,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664977.219923,23.101489067077637,10,5,5,270,300,57.0,60,54,2.566832118564182,4.178532504632849,4,none,,message
10.0.2.15,45782,172.217.22.67,80,TCP,1691664954.379283,7,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664978.49741,24.11812710762024,10,5,5,270,300,57.0,60,54,2.679791900846693,4.166016587230276,5,none,,message
10.0.2.15,57937,142.251.37.78,443,UDP,1691664956.03177,8,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691665184.228463,228.196692943573,159,74,85,30228,11648,263.37106918238993,1399,66,1.4442828667314747,4.778281199879263,19,none,,photo
157.240.214.60,443,10.0.2.15,47182,TCP,1691664956.388645,9,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691665182.163468,225.77482295036316,339,174,165,46295,20308,196.46902654867256,4247,54,0.6679728489655715,2.263643347569576,57,none,,photo
10.0.2.15,39559,213.57.22.5,53,UDP,1691664960.29874,10,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664960.324507,0.025767087936401367,2,1,1,87,140,113.5,140,87,0.025767087936401367,0.0,1,high,domain_strong,message
10.0.2.15,44340,213.57.22.5,53,UDP,1691664960.302986,11,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664960.331384,0.02839803695678711,2,1,1,87,152,119.5,152,87,0.02839803695678711,0.0,1,high,"domain_strong,inferred_server",message
10.0.2.15,50370,34.120.208.123,443,TCP,1691664961.187441,12,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664961.640312,0.45287084579467773,8,4,4,293,240,66.625,100,54,0.06469583511352539,0.15669365045034933,2,none,,message
10.0.2.15,44490,213.57.22.5,53,UDP,1691664962.108487,13,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664962.131386,0.022899150848388672,2,1,1,98,114,106.0,114,98,0.022899150848388672,0.0,1,medium,inferred_server,message
10.0.2.15,50969,213.57.22.5,53,UDP,1691664962.132027,14,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664962.152861,0.02083420753479004,2,1,1,98,126,112.0,126,98,0.02083420753479004,0.0,1,medium,inferred_server,message
10.0.2.15,41015,172.217.22.66,443,UDP,1691664962.154889,15,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664962.487359,0.3324699401855469,24,11,13,2692,4930,317.5833333333333,1399,66,0.014455214790675951,0.020478378926569386,1,none,,message
10.0.2.15,39928,172.217.22.66,443,TCP,1691664962.215498,16,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664962.32709,0.11159205436706543,16,8,8,1415,1329,171.5,822,54,0.007439470291137696,0.02107594918599509,1,none,,message
10.0.2.15,38145,212.55.186.14,443,UDP,1691664964.015887,17,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664980.943583,16.927695989608765,1007,211,796,19201,1106444,1117.8202581926514,1399,71,0.016826735576151854,0.5116066446305615,2,none,,video
10.0.2.15,49584,172.217.22.106,443,TCP,1691664964.157424,18,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664964.188879,0.031455039978027344,4,2,2,147,153,75.0,93,54,0.010485013326009115,0.014251042033228847,1,none,,message
10.0.2.15,41638,172.217.22.98,443,TCP,1691664966.192468,19,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664966.265263,0.07279515266418457,8,4,4,279,240,64.875,93,54,0.010399307523454939,0.023045804689064506,1,none,,message
10.0.2.15,53748,142.251.142.194,443,TCP,1691664966.193205,20,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664966.261293,0.06808781623840332,8,4,4,279,240,64.875,93,54,0.009726830891200475,0.013552922505077314,1,none,,message
10.0.2.15,56638,172.217.22.86,443,TCP,1691664971.162837,21,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664971.18898,0.02614307403564453,4,2,2,147,153,75.0,93,54,0.00871435801188151,0.011396920803029304,1,none,,message
10.0.2.15,59414,34.110.220.139,443,TCP,1691664976.194858,22,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664976.219809,0.02495098114013672,8,4,4,279,240,64.875,93,54,0.0035644258771623883,0.006275332940977117,1,none,,message
34.117.65.55,443,10.0.2.15,37886,TCP,1691664981.74982,23,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664981.751601,0.0017809867858886719,3,2,1,138,82,73.33333333333333,82,60,0.0008904933929443359,0.0001575946807861328,1,none,,message
10.0.2.15,49106,172.217.22.33,443,TCP,1691664984.164585,24,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664984.183333,0.018747806549072266,4,2,2,147,153,75.0,93,54,0.006249268849690755,0.008168641743924586,1,none,,message
10.0.2.15,43594,142.251.142.206,443,TCP,1691664987.167452,25,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664987.202089,0.0346369743347168,4,2,2,147,153,75.0,93,54,0.011545658111572266,0.015522140892075594,1,none,,message
10.0.2.15,43596,142.251.142.206,443,TCP,1691664991.191123,26,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664991.21544,0.024317026138305664,4,2,2,147,153,75.0,93,54,0.00810567537943522,0.010229905832862334,1,none,,message
10.0.2.15,52016,213.57.22.5,53,UDP,1691664991.604534,27,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664991.624824,0.020290136337280273,2,1,1,101,117,109.0,117,101,0.020290136337280273,0.0,1,high,"domain_strong,inferred_server",message
10.0.2.15,46621,213.57.22.5,53,UDP,1691664991.605003,28,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664991.626467,0.021463871002197266,2,1,1,101,129,115.0,129,101,0.021463871002197266,0.0,1,high,"domain_strong,inferred_server",message
10.0.2.15,38820,213.57.23.97,443,UDP,1691664991.619149,29,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691665026.016822,34.3976731300354,415,87,328,9065,395007,973.6674698795181,1399,73,0.08308616698076184,0.9574226979725773,4,none,,audio
10.0.2.15,60642,178.249.96.8,443,TCP,1691664996.195145,30,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664996.280635,0.08549022674560547,4,2,2,154,160,78.5,100,54,0.028496742248535156,0.03956202113793699,1,none,,message
10.0.2.15,46134,142.251.37.67,443,TCP,1691664998.204205,31,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664998.422684,0.21847891807556152,8,4,4,279,240,64.875,93,54,0.031211274010794505,0.0756459938980896,1,none,,message
10.0.2.15,35550,142.251.142.214,443,TCP,1691664998.204562,32,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664998.423093,0.21853113174438477,8,4,4,279,240,64.875,93,54,0.03121873310634068,0.07508927338373743,1,none,,message
10.0.2.15,58426,172.217.22.2,443,TCP,1691664999.207755,33,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691664999.232585,0.024829864501953125,8,4,4,279,240,64.875,93,54,0.003547123500279018,0.006708971053805766,1,none,,message
10.0.2.15,54579,213.57.22.5,53,UDP,1691665000.590782,34,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691665000.613089,0.022307157516479492,2,1,1,100,244,172.0,244,100,0.022307157516479492,0.0,1,medium,inferred_server,message
10.0.2.15,46090,213.57.22.5,53,UDP,1691665000.59114,35,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691665000.611944,0.02080392837524414,2,1,1,100,268,184.0,268,100,0.02080392837524414,0.0,1,medium,inferred_server,message
10.0.2.15,36802,52.48.156.113,443,TCP,1691665003.203597,36,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691665003.285893,0.08229589462280273,4,2,2,154,160,78.5,100,54,0.027431964874267578,0.038038054167024105,1,none,,message
10.0.2.15,40944,63.34.121.38,443,TCP,1691665003.204116,37,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691665003.289728,0.08561182022094727,4,2,2,154,160,78.5,100,54,0.028537273406982422,0.03998010855570998,1,none,,message
10.0.2.15,55608,172.217.22.4,443,TCP,1691665004.210928,38,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691665004.231155,0.02022695541381836,4,2,2,147,153,75.0,93,54,0.006742318471272786,0.00875277064075822,1,none,,message
10.0.2.15,54846,172.217.22.66,443,TCP,1691665006.214398,39,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691665006.234043,0.019644975662231445,8,4,4,279,240,64.875,93,54,0.002806425094604492,0.005968492934724963,1,none,,message
10.0.2.15,36456,212.55.186.14,443,UDP,1691665011.013769,40,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691665070.883324,59.86955499649048,1586,392,1194,35250,1655592,1066.1046658259772,1399,71,0.037772589903148565,1.052683008351078,3,none,,video
10.0.2.15,49584,172.217.22.106,443,TCP,1691665016.219518,41,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691665016.241445,0.0219271183013916,6,3,3,225,180,67.5,93,54,0.00438542366027832,0.008226869821700301,1,none,,message
10.0.2.15,39928,172.217.22.66,443,TCP,1691665021.015734,42,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691665021.079623,0.0638890266418457,4,2,2,147,153,75.0,93,54,0.021296342213948567,0.017401799948632248,1,none,,message
10.0.2.15,56638,172.217.22.86,443,TCP,1691665024.222615,43,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691665024.245538,0.022922992706298828,6,3,3,225,180,67.5,93,54,0.004584598541259766,0.00862480200995645,1,none,,message
10.0.2.15,57330,213.57.22.5,53,UDP,1691665036.604458,44,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691665036.624831,0.020372867584228516,2,1,1,87,140,113.5,140,87,0.020372867584228516,0.0,1,high,"domain_strong,inferred_server",message
10.0.2.15,51669,213.57.22.5,53,UDP,1691665036.605065,45,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691665036.625552,0.020486831665039062,2,1,1,87,152,119.5,152,87,0.020486831665039062,0.0,1,high,"domain_strong,inferred_server",message
10.0.2.15,49106,172.217.22.33,443,TCP,1691665038.223845,46,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691665038.247935,0.024090051651000977,8,4,4,279,240,64.875,93,54,0.0034414359501429965,0.007849647310503693,1,none,,message
10.0.2.15,43594,142.251.142.206,443,TCP,1691665040.225224,47,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691665040.462599,0.23737502098083496,8,4,4,279,240,64.875,93,54,0.03391071728297642,0.08130118485330032,1,none,,message
10.0.2.15,43596,142.251.142.206,443,TCP,1691665044.232357,48,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691665044.257132,0.024775028228759766,8,4,4,279,240,64.875,93,54,0.003539289746965681,0.008152002680933208,1,none,,message
10.0.2.15,60642,178.249.96.8,443,TCP,1691665050.239848,49,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691665050.326135,0.08628702163696289,8,4,4,293,240,66.625,100,54,0.012326717376708984,0.027538941153142715,1,none,,message
10.0.2.15,36802,52.48.156.113,443,TCP,1691665056.243506,50,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691665056.340018,0.0965120792388916,8,4,4,293,240,66.625,100,54,0.013787439891270228,0.029716696828369676,1,none,,message
10.0.2.15,40944,63.34.121.38,443,TCP,1691665056.243645,51,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691665056.329456,0.08581113815307617,8,4,4,293,240,66.625,100,54,0.012258734021868025,0.02767179681504177,1,none,,message
10.0.2.15,33775,213.57.22.5,53,UDP,1691665056.746473,52,bccc6031-0f70-4fab-9bfc-83da2cb27b06_NoFilters_record.pcap,1691665056.768612,0.02213883399963379,2,1,1,101,117,109.0,117,101,0.02213883399963379,0.0,1,high,"domain_strong,inferred_server",message
